Ligand,Binding Affinity,rmsd/ub, rmsd/lb
3ewd_115358_uff_E=395.52,-6.1,0.0,0.0
3ewd_115358_uff_E=395.52,-6.1,28.797,25.912
3ewd_115358_uff_E=395.52,-6.0,30.204,27.341
3ewd_115358_uff_E=395.52,-6.0,29.149,26.59
3ewd_115358_uff_E=395.52,-6.0,11.742,7.782
3ewd_115358_uff_E=395.52,-6.0,29.935,26.975
3ewd_115358_uff_E=395.52,-6.0,32.572,30.614
3ewd_115358_uff_E=395.52,-5.9,2.657,2.068
3ewd_115358_uff_E=395.52,-5.9,4.208,2.926
3ewd_2719_uff_E=262.55,-5.8,0.0,0.0
3ewd_2719_uff_E=262.55,-5.2,14.104,10.518
3ewd_2719_uff_E=262.55,-5.2,6.123,2.999
3ewd_2719_uff_E=262.55,-5.0,17.851,15.268
3ewd_2719_uff_E=262.55,-4.9,37.666,35.845
3ewd_2719_uff_E=262.55,-4.8,29.922,27.652
3ewd_2719_uff_E=262.55,-4.8,24.648,22.308
3ewd_2719_uff_E=262.55,-4.8,28.019,25.646
3ewd_2719_uff_E=262.55,-4.7,13.591,9.945
3ewd_4046_uff_E=250.59,-7.8,0.0,0.0
3ewd_4046_uff_E=250.59,-7.2,26.731,24.155
3ewd_4046_uff_E=250.59,-7.1,26.835,25.406
3ewd_4046_uff_E=250.59,-7.1,26.716,25.485
3ewd_4046_uff_E=250.59,-7.0,26.887,24.92
3ewd_4046_uff_E=250.59,-6.7,5.653,3.413
3ewd_4046_uff_E=250.59,-6.7,35.248,33.405
3ewd_4046_uff_E=250.59,-6.7,5.857,3.032
3ewd_4046_uff_E=250.59,-6.7,6.76,3.738
3ewd_4908_uff_E=190.02,-5.9,0.0,0.0
3ewd_4908_uff_E=190.02,-5.6,5.112,2.938
3ewd_4908_uff_E=190.02,-5.6,27.519,25.899
3ewd_4908_uff_E=190.02,-5.5,26.987,25.198
3ewd_4908_uff_E=190.02,-5.4,27.17,25.257
3ewd_4908_uff_E=190.02,-5.4,36.399,33.777
3ewd_4908_uff_E=190.02,-5.3,26.95,24.965
3ewd_4908_uff_E=190.02,-5.3,26.732,25.07
3ewd_4908_uff_E=190.02,-5.3,18.898,16.334
3ewd_54671203_uff_E=690.46,-7.3,0.0,0.0
3ewd_54671203_uff_E=690.46,-6.8,35.616,32.949
3ewd_54671203_uff_E=690.46,-6.5,23.929,21.112
3ewd_54671203_uff_E=690.46,-6.4,23.173,20.699
3ewd_54671203_uff_E=690.46,-6.3,22.927,20.163
3ewd_54671203_uff_E=690.46,-6.3,34.154,31.702
3ewd_54671203_uff_E=690.46,-6.2,37.534,34.293
3ewd_54671203_uff_E=690.46,-6.2,10.467,7.874
3ewd_54671203_uff_E=690.46,-6.1,36.077,33.466
